X,Y,Name
565,407,Neart na Goaithe
314,399,Neart na Goaithe
618,394,Neart na Goaithe
422,386,Neart na Goaithe
542,367,Neart na Goaithe
235,367,Neart na Goaithe
294,362,Neart na Goaithe
594,352,Neart na Goaithe
400,347,Neart na Goaithe
455,341,Neart na Goaithe
215,321,Neart na Goaithe
572,312,Neart na Goaithe
430,303,Neart na Goaithe
302,277,Neart na Goaithe
549,272,Neart na Goaithe
276,238,Neart na Goaithe
527,232,Neart na Goaithe
379,219,Neart na Goaithe
455,211,Neart na Goaithe
504,193,Neart na Goaithe
482,154,Neart na Goaithe
463,118,Neart na Goaithe
1189,641,Rødsand
1141,632,Rødsand
1080,619,Rødsand
1018,603,Rødsand
959,587,Rødsand
901,568,Rødsand
1201,548,Rødsand
842,546,Rødsand
1149,544,Rødsand
1086,533,Rødsand
783,523,Rødsand
1030,520,Rødsand
975,507,Rødsand
729,499,Rødsand
921,491,Rødsand
865,473,Rødsand
673,470,Rødsand
1198,459,Rødsand
1145,456,Rødsand
810,453,Rødsand
1093,447,Rødsand
616,442,Rødsand
1041,438,Rødsand
755,436,Rødsand
990,427,Rødsand
940,415,Rødsand
564,412,Rødsand
704,408,Rødsand
893,401,Rødsand
836,383,Rødsand
651,384,Rødsand
511,378,Rødsand
1147,368,Rødsand
789,368,Rødsand
1195,366,Rødsand
1100,362,Rødsand
601,358,Rødsand
1052,355,Rødsand
1006,347,Rødsand
737,346,Rødsand
458,344,Rødsand
959,338,Rødsand
912,327,Rødsand
549,328,Rødsand
685,325,Rødsand
863,313,Rødsand
410,309,Rødsand
637,303,Rødsand
817,300,Rødsand
497,297,Rødsand
1149,279,Rødsand
758,283,Rødsand
1107,276,Rødsand
587,277,Rødsand
1193,277,Rødsand
1065,272,Rødsand
359,271,Rødsand
1022,268,Rødsand
720,267,Rødsand
450,267,Rødsand
979,261,Rødsand
935,253,Rødsand
537,251,Rødsand
674,249,Rødsand
890,244,Rødsand
400,233,Rødsand
847,234,Rødsand
311,232,Rødsand
626,227,Rødsand
490,224,Rødsand
803,222,Rødsand
755,209,Rødsand
576,204,Rødsand
352,198,Rødsand
712,195,Rødsand
440,195,Rødsand
264,188,Rødsand
530,182,Rødsand
664,177,Rødsand
392,164,Rødsand
302,163,Rødsand
617,158,Rødsand
481,157,Rødsand
570,140,Rødsand
433,129,Rødsand
345,128,Rødsand
518,117,Rødsand
385,98,Rødsand
473,96,Rødsand
425,66,Rødsand
290,582,Formosa I
188,571,Formosa I
405,553,Formosa I
293,525,Formosa I
127,517,Formosa I
411,494,Formosa I
242,493,Formosa I
88,482,Formosa I
521,473,Formosa I
203,452,Formosa I
473,437,Formosa I
418,390,Formosa I
368,345,Formosa I
206,337,Formosa I
612,304,Formosa I
560,257,Formosa I
519,212,Formosa I
360,206,Formosa I
585,145,Formosa I
429,139,Formosa I
537,111,Formosa I
499,72,Formosa I
926,900,Saint-Brieuc
